ID,ward,district,age_hhh,sex_hhh,edu_hhh,elderly,adult,youth,family_size,nb_of_tractors,nb_of_two_wheel_tractors,nb_of_ploughs,nb_of_cultivators,nb_of_scotchcarts,nb_of_wheelbarows,nb_of_metal_siloes_or_other_improved_storage_facility,nb_of_solar_panels,nb_of_biogas_digester,nb_of_green_houses,nb_of_motorized_grinding_mill,cropped_area,fallow,maize,small_grains,legumes,other,cattle,small_rum,poultry,how_many_bee_hives_do_you_currently_own,do_you_have_a_fish_pond,TLU,do_you_have_an_individual_garden,do_you_have_access_to_a_community_garden,Main food source,Main income source,food_security,hdds,Quality certified seeds,Community seed banks,Drought tolerant varieties,Small grains,Early planting,Crop rotation,Intercropping,Cover crops,Mulching,Integrated pest management,Compost and/or manure,Drip- and/or micro-irrigation market,Optimum plant density,Tree planting on-farm,Tree retention (natural regeneration) on-farm,Improved livestock breed,Improved animal shelter,Water infrastructure,Routine vaccination,Home vaccination,Castration,Deworming,Dipping,Home spraying,Paravet,Homemade animal feed,Fodder production,Fodder preservation,Survival feeding,Commercial feed,Artificial insemination,Pen fattening,crop_div,liv_div,tot_div,clearing,soil_fertility,soil_erosion,soil_compaction,tree_cover,Basal fertilizer,Top-dressing fertilizer,Manure,Compost,credit,saving_loan,knowledge,cereals,Cereal yield (kg/ha),newliv,offtake,death,cattle_goats_poultry
242,Ward 3,Mbire,49,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.4,0.2,0,1.4,0,6,4,1,No,1.24,0,0,1,1,0.416666667,2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,4,5,0,Deteriorating,Improving,Deteriorating,Deteriorating,0,0,0,0,Yes,No,Other farmers,750,1250,0.4,0,0,0.64
243,Ward 3,Mbire,56,1,0,1,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0.8,0,0.4,0.4,28.52,0,0,20,19,0,No,4.19,1,0,1,1,0.416666667,2,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,9,3,12,0,Stable,Deteriorating,Deteriorating,Deteriorating,51,0,300,0,Yes,Yes,Private sector,1100,1375,0.99,0.12,0,2.19
244,Ward 3,Mbire,23,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,2,0,0,0,0,0,No,0,0,0,1,1,0.666666667,5,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,1,4,0,Stable,Deteriorating,Deteriorating,Deteriorating,0,0,0,0,No,No,Government extension,1500,1500,0,0,0,0
245,Ward 3,Mbire,27,0,1,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,3,0,0,0,No,2.1,0,0,1,1,0.583333333,3,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,1,2,3,0,Stable,Improving,Deteriorating,Improving,50,50,0,0,No,No,Private sector,600,300,0,0,0,2.1
246,Ward 3,Mbire,26,0,1,0,5,1,9,0,0,2,1,1,1,0,2,0,0,0,1.6,3,0.8,0,0.8,0,10,24,40,0,No,12.2,1,0,1,0,1,4,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,6,5,11,0,Stable,Stable,Stable,Stable,100,0,0,0,No,Yes,Government extension,25,31.25,1.84,1,0.4,9.7
247,Ward 3,Mbire,82,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0,No,0.6,0,0,1,1,0.25,2,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,2,3,0,Deteriorating,Stable,Stable,Stable,0,0,0,0,No,No,Government extension,300,300,0.2,0,0,0.3
248,Ward 3,Mbire,75,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5,0.5,0,0,0,3,7,0,No,0.67,0,0,1,0,0.75,2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,3,4,0,Improving,Stable,Stable,Deteriorating,0,0,0,3,No,No,Relatives,700,700,0.1,0.01,0.03,0.37
249,Ward 3,Mbire,62,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,3,0,1,2,0,0,1,7,29,0,No,2.39,0,0,1,1,0.083333333,2,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,2,5,7,0,Stable,Stable,Stable,Improving,0,30,750,0,No,Yes,Government extension,100,50,0.36,0.18,2.1,1.29
25,Ward 2,Mbire,62,1,0,2,3,0,8,0,0,0,0,0,1,0,1,0,0,0,0.8,0.2,0.2,0.4,0.2,5.55E-17,0,6,12,0,No,1.32,1,0,1,1,0,2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,3,7,0,Deteriorating,Deteriorating,Stable,Deteriorating,60,60,0,0,No,No,Government extension,400,666.6666667,0.21,0.04,0.1,0.72
250,Ward 3,Mbire,69,0,0,1,0,2,3,0,0,1,0,1,0,0,1,0,0,0,5,0,0,1,2,2,1,9,5,11,No,2.55,0,0,0,1,0.666666667,2,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,5,6,11,0,Stable,Stable,Deteriorating,Deteriorating,0,0,0,0,No,Yes,Other farmers,450,450,2.1,1.65,1.44,1.63
251,Ward 3,Mbire,45,1,1,0,5,1,9,0,0,1,0,0,0,0,3,0,0,1,5,0,0,3,2,0,0,0,0,0,No,0,0,0,1,1,0.75,2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,1,4,0,Deteriorating,Deteriorating,Deteriorating,Deteriorating,0,0,0,0,Yes,No,Government extension,40,13.33333333,0,0,0,0
252,Ward 3,Mbire,60,0,0,0,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,1,4,0,Stable,Deteriorating,Stable,Stable,0,0,0,0,No,No,Government extension,0,NA,0,0,0,0
253,Ward 3,Mbire,48,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,9,0,No,0.49,0,0,1,0,0,2,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,1,3,4,0,Deteriorating,Improving,Stable,Stable,0,40,0,0,No,No,Government extension,20,10,0.24,0,0,0.29
254,Ward 3,Mbire,49,0,1,0,2,2,4,0,0,1,0,0,1,0,1,0,0,0,2.4,0.4,0.4,1.6,0.2,0.2,3,15,18,0,No,5.28,1,0,1,1,1,4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,10,5,15,1,Improving,Stable,Improving,Deteriorating,0,0,0,5,No,No,Government extension,4600,2300,1.15,0.36,0.85,3.75
255,Ward 3,Mbire,39,0,1,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0.8,0.4,0.4,0.2,0,0,0,1,0,No,0.01,0,0,1,0,0.5,3,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,2,5,0,Stable,Deteriorating,Deteriorating,Stable,0,0,0,0,No,No,Development NGO,550,687.5,0,0,0,0
256,Ward 3,Mbire,84,1,0,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6,0,0,0.4,0,0,0,0,No,0,1,0,1,0,0.666666667,4,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5,1,6,0,Stable,Deteriorating,Stable,Deteriorating,0,0,0,0,No,No,Other farmers,500,833.3333333,0,0,0,0
257,Ward 3,Mbire,69,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0.4,0.4,0,0.6,0,0,0,0,No,0,1,0,1,1,0.583333333,2,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6,1,7,0,Deteriorating,Stable,Stable,Deteriorating,100,0,0,0,No,No,Private sector,180,225,0,0,0,0
258,Ward 3,Mbire,35,0,1,1,1,3,6,0,0,1,1,1,0,0,1,0,0,0,3,12,1,2,0,0,36,46,8,0,No,34.48,1,0,1,1,0.75,3,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,5,4,9,0,Stable,Improving,Improving,Deteriorating,125,100,0,0,No,No,Government extension,765,255,11.2,3,1.4,29.88
259,Ward 3,Mbire,36,0,1,0,3,0,6,0,0,2,2,1,2,0,3,0,0,1,2,0,0.8,0,0.4,0.8,8,181,44,0,No,42.24,1,0,1,0,0.583333333,4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,10,7,17,0,Deteriorating,Deteriorating,Stable,Stable,100,50,0,0,No,Yes,Private sector,300,375,4.37,0.55,0.3,21.92
26,Ward 2,Mbire,35,0,0,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,1.6,0,0.8,0.6,0.2,5.55E-17,0,3,17,0,No,3.17,1,0,1,0,0.416666667,3,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8,5,13,0,Deteriorating,Stable,Improving,Stable,0,40,0,0,No,No,Government extension,950,678.5714286,0.45,0.03,0,0.47
260,Ward 3,Mbire,70,1,0,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,2,0,0,0,0,0,No,0,0,0,1,1,0.333333333,4,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,1,4,0,Deteriorating,Deteriorating,Deteriorating,Deteriorating,0,0,0,250,No,No,Government extension,1000,1000,0,0,0,0
261,Ward 3,Mbire,46,0,1,0,2,0,5,0,0,1,1,0,0,0,1,0,0,0,2.5,2.5,0.8,0.2,0,1.5,3,10,24,0,No,4.94,0,0,1,1,0.5,2,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,1,7,8,0,Deteriorating,Stable,Deteriorating,Deteriorating,100,0,0,0,No,No,Private sector,1000,1000,0.3,0.02,0,3.2
262,Ward 3,Mbire,34,0,0,0,2,3,8,0,0,1,0,0,0,0,1,0,0,0,0.8,0,0,0.8,0,0,4,4,10,0,No,3.7,0,0,1,0,0.666666667,2,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,1,4,5,0,Stable,Deteriorating,Stable,Deteriorating,50,0,0,0,No,No,Government extension,1200,1500,1.57,0.02,0,3.3
263,Ward 3,Mbire,64,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0.4,0,0.4,0.4,0,0.2,0,0,0,0,No,0,1,0,1,1,0.75,2,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,6,1,7,0,Deteriorating,Deteriorating,Stable,Improving,70,70,0,0,No,No,Private sector,220,275,0,0,0,0
264,Ward 3,Mbire,24,0,0,0,0,2,3,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,3,0,0,No,0.6,1,0,1,0,0.583333333,4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,5,2,7,0,Deteriorating,Deteriorating,Deteriorating,Deteriorating,0,0,0,0,No,No,Relatives,0,NA,0.2,0,0,0.3
265,Ward 3,Mbire,49,0,1,0,2,1,5,0,0,2,1,1,1,0,3,1,0,0,5,0,0,2,1.6,1.4,18,151,40,1,No,43.2,1,0,1,1,0.833333333,5,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,9,7,16,0,Deteriorating,Stable,Stable,Stable,150,100,750,0,No,Yes,Development NGO,5500,2750,17.85,16,1.78,25.67
266,Ward 3,Mbire,48,0,1,0,2,0,3,0,0,1,1,0,0,0,2,0,0,0,1.1,0.8,0,0.8,0.3,0,5,1,8,0,No,3.78,1,0,1,0,0.666666667,3,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,5,4,9,0,Deteriorating,Stable,Stable,Stable,100,0,0,0,No,No,Government extension,600,750,1.45,0.03,0.8,3.68
267,Ward 3,Mbire,51,0,1,0,2,1,4,0,0,1,1,0,0,0,1,0,0,0,1.6,0.8,0,0.6,0.4,0.6,3,2,0,0,No,2.5,1,0,1,0,0.666666667,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,8,3,11,0,Deteriorating,Stable,Stable,Stable,100,50,900,0,No,No,Government extension,200,333.3333333,0.8,0,0,2.3
268,Ward 3,Mbire,60,0,1,0,2,1,5,0,0,0,0,0,0,0,1,0,0,0,4,3,1,1,2,0,5,8,10,2,No,5.2,1,0,1,0,0.416666667,3,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,8,5,13,0,Improving,Stable,Improving,Stable,0,0,300,0,No,No,Government extension,2200,1100,1.29,2.23,3.06,4.4
269,Ward 3,Mbire,36,0,0,0,2,1,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0.5,0.5,1,0,0,3,2,0,No,0.62,0,0,1,1,0.666666667,2,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,3,3,6,0,Stable,Improving,Deteriorating,Improving,50,0,0,0,No,No,Relatives,800,800,0.2,0,0,0.32
27,Ward 2,Mbire,27,1,1,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0.4,0.8,0.2,0.2,0,0,0,5,19,1,No,1.19,1,1,0,1,0.75,4,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,6,4,10,0,Stable,Stable,Deteriorating,Improving,20,0,0,0,No,Yes,Government extension,1000,2500,0.12,0.03,0,0.69
270,Ward 3,Mbire,57,0,0,0,1,2,5,0,0,1,0,0,0,0,1,0,0,0,1,2,0.3,0.7,0,0,0,5,0,2,No,1,1,0,0,0,0.75,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,9,4,13,0,Stable,Deteriorating,Improving,Stable,50,0,0,0,No,No,Other farmers,257,257,0.3,0.2,0,0.4
271,Ward 3,Mbire,37,0,1,0,2,0,5,0,0,1,0,0,0,0,3,0,0,0,1.4,0,0.4,0.8,0.2,0,20,35,10,0,No,22.5,1,0,1,1,1,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,8,6,14,0,Deteriorating,Deteriorating,Stable,Stable,50,75,0,0,No,No,Government extension,2300,1916.666667,4.9,3.2,2.7,17.1
272,Ward 3,Mbire,47,0,1,0,2,1,5,0,0,1,0,1,0,0,1,0,0,0,3,0,1,2,0,0,4,7,33,2,No,5.33,0,0,0,1,0.75,4,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,1,7,8,0,Stable,Deteriorating,Deteriorating,Stable,350,300,0,0,No,No,Relatives,3015,1005,1.68,0,0.25,3.8
273,Ward 3,Mbire,71,0,0,2,2,0,5,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,17,4,0,No,3.84,0,0,1,1,0.583333333,4,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,4,4,0,Stable,Stable,Deteriorating,Stable,0,0,0,0,No,No,Other farmers,750,750,0.2,0,0,1.74
274,Ward 3,Mbire,58,0,0,0,5,0,8,0,0,2,0,1,0,0,1,0,0,1,9.6,1,4.4,5.2,0,0,17,26,13,12,No,17.23,1,0,1,1,1,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,9,7,16,0,Stable,Stable,Deteriorating,Stable,300,150,0,0,No,No,Government extension,6000,652.173913,2.2,0.2,0.1,14.4
275,Ward 3,Mbire,66,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,No,4.2,0,0,1,0,0.666666667,2,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,0,2,2,0,Deteriorating,Deteriorating,Deteriorating,Deteriorating,0,0,0,0,No,No,Other farmers,0,NA,0,0,0,4.2
276,Ward 3,Mbire,48,0,0,0,2,1,5,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,2,30,0,Yes,0.7,0,0,1,1,1,2,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,1,3,4,0,Improving,Stable,Stable,Stable,70,70,0,0,No,No,Government extension,2650,1325,0.15,0.56,0,0.5
277,Ward 3,Mbire,44,0,0,0,2,1,6,0,0,1,0,1,0,0,1,0,0,1,2,3,0.5,0.5,0.5,0.5,2,5,7,0,No,7.17,1,0,0,1,0.666666667,2,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,8,6,14,0,Stable,Stable,Deteriorating,Stable,75,50,0,0,No,No,Relatives,1030,1030,0.09,0,0,1.97
278,Ward 3,Mbire,55,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,2,0,0,0,3,5,0,No,0.65,1,0,1,1,0.25,2,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,3,7,0,Deteriorating,Stable,Deteriorating,Deteriorating,0,0,0,0,No,No,Government extension,150,75,0.3,0.02,0.09,0.35
279,Ward 3,Mbire,41,0,0,0,2,1,6,0,0,1,0,0,0,0,1,0,0,0,1.4,0.8,0.4,0.8,0.2,0,2,0,4,0,No,1.44,0,0,1,0,0.5,3,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,4,3,7,0,Deteriorating,Deteriorating,Deteriorating,Stable,0,0,0,0,No,No,Government extension,1250,1041.666667,0.19,0.75,1.4,1.44
28,Ward 2,Mbire,38,0,1,1,2,1,7,0,0,0,0,0,0,0,2,0,0,0,1,1,0.5,0.5,0,0,0,0,4,0,No,0.04,1,0,1,0,0.666666667,5,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,2,6,0,Stable,Stable,Stable,Improving,0,0,0,0,Yes,No,Government extension,1100,1100,0.66,0,0.12,0.04
280,Ward 3,Mbire,80,1,0,1,2,1,6,0,0,1,0,1,0,0,0,0,0,0,1.6,0.8,0,1,0.6,0,21,8,14,0,No,16.44,1,0,1,1,0.583333333,4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,10,4,14,0,Stable,Stable,Stable,Stable,0,0,0,0,No,No,Government extension,1950,1950,4.5,1.55,0.81,15.64
281,Ward 3,Mbire,40,0,0,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5,0.5,0,0,0,2,5,0,No,0.45,0,0,1,0,0.666666667,3,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,3,4,0,Stable,Stable,Stable,Deteriorating,0,0,0,0,No,No,Relatives,1050,1050,0,0,0,0.2
282,Ward 3,Mbire,55,0,0,0,2,1,5,0,0,1,0,1,0,0,0,0,0,0,4,4,0.4,0.4,0,3.2,11,2,1,0,No,8.11,0,0,1,1,0.666666667,2,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,2,4,6,0,Stable,Improving,Deteriorating,Stable,100,100,750,0,No,No,Government extension,1000,1250,2.5,0.06,2.44,7.91
283,Ward 3,Mbire,47,0,1,0,4,0,9,0,0,1,0,1,1,0,1,0,0,0,6,1,1,2,0,3,19,32,19,0,No,19.89,1,0,1,1,0.75,6,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,7,5,12,0,Stable,Stable,Improving,Stable,200,450,900,0,No,No,Government extension,1750,583.3333333,2.5,1.08,0.65,16.65
284,Ward 3,Mbire,47,0,1,0,2,6,10,0,0,2,2,1,3,0,2,0,0,1,0.8,0,0.2,0.4,0.2,5.55E-17,60,15,458,0,No,49.58,1,0,1,0,1,5,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,12,7,19,0,Improving,Stable,Stable,Deteriorating,0,0,1500,0,No,No,Government extension,1750,2916.666667,11,0,0.3,43.5
285,Ward 3,Mbire,45,0,0,0,2,2,9,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,No,0,0,0,1,1,0.75,3,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,2,0,Stable,Stable,Stable,Deteriorating,50,50,0,0,No,No,Government extension,1500,1500,0,0,0,0
286,Ward 3,Mbire,56,0,1,0,2,3,7,0,0,1,0,0,0,0,1,0,0,0,3,3,1.2,0.4,0.4,1,5,10,20,0,No,5.7,1,0,1,1,0.75,3,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,7,4,11,0,Improving,Stable,Stable,Deteriorating,50,50,0,0,No,No,Government extension,2500,1562.5,0.1,0.05,0,4.7
287,Ward 3,Mbire,46,1,1,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,4,0.5,0.5,1,0,2.5,0,65,18,2,No,13.18,1,0,1,1,0.5,3,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,9,4,13,1,Stable,Deteriorating,Deteriorating,Improving,50,50,100,0,No,No,Private sector,2450,1633.333333,0.45,0.78,1.05,6.68
288,Ward 3,Mbire,54,1,1,1,1,1,5,0,0,0,0,0,0,0,1,0,0,0,2,3,1,1,0,0,0,16,12,0,No,3.32,0,0,1,1,0.75,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,3,4,0,Stable,Stable,Stable,Improving,100,100,0,0,No,Yes,Government extension,2900,1450,0.66,0.41,0,1.72
289,Ward 3,Mbire,80,0,0,2,1,0,3,0,0,0,0,0,0,0,1,0,0,0,3,2,0,3,0,0,0,0,0,0,No,0,0,0,1,1,0.75,4,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,2,0,Deteriorating,Stable,Deteriorating,Deteriorating,50,0,150,0,No,No,Government extension,1550,516.6666667,0,0,0,0
29,Ward 2,Mbire,65,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.1,0.1,0.2,2.78E-17,2,13,0,0,No,4,0,0,0,0,1,3,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,3,3,6,0,Deteriorating,Deteriorating,Deteriorating,Deteriorating,50,0,0,0,No,No,Other farmers,250,1250,1.3,0,1.3,2.7
290,Ward 3,Mbire,82,0,0,2,1,1,6,0,0,1,0,1,1,0,0,0,0,1,1,1,0.6,0.4,0,0,2,4,0,0,No,2.2,0,0,1,1,1,2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,1,3,4,0,Stable,Deteriorating,Stable,Deteriorating,0,0,0,0,No,No,Government extension,1800,1800,0.8,0,0,1.8
